drug_id,y
304,8.130446258347035
305,6.382293697444538
306,6.111431980799898
307,7.634441629239549
308,5.616154307404881
309,7.731932181477771
310,6.455862593445898
311,6.014595981576253
312,7.286588468446804
313,6.180769666478787
314,4.286936158644378
315,5.329553040526807
316,8.105584812724416
317,5.870623238605698
318,9.174561039224981
319,5.407121764181807
320,6.705896392744828
321,6.985761942079964
322,5.046183566773383
323,5.326260472197792
324,5.392145885679638
325,6.944239003627507
326,6.197667655980094
327,8.161564050559669
328,9.523703684514818
329,7.089138819141549
330,5.7362561391435225
331,7.026681988997293
332,4.705046061813466
333,8.354354628938927
334,9.074911535548909
335,5.95057992064591
336,6.323795202476571
337,9.324660126342291
338,4.497726615030218
339,4.739410875158259
340,7.667291787484337
341,5.8729491203234625
342,6.971980493688139
343,7.3137433449437
344,4.787722016871903
345,6.966935521727891
346,8.281745701556035
347,4.664917856217521
348,5.899502353291624
349,6.38467971552488
350,6.472678411023679
351,7.080582822853472
352,5.907292190567212
353,5.466431446258199
354,6.876262940137998
355,6.292073514850514
356,5.408354977271319
357,6.967624391891248
358,6.546910246360361
359,7.039826912901312
360,5.819593483679574
361,7.7006119156505655
362,9.450974945396933
363,5.261379771572426
364,7.585695224534386
365,5.85986282958182
366,6.262548313333634
367,5.21003617395113
368,5.362812628643394
369,4.5381269823842505
370,5.973328923881994
371,6.812979247296364
372,6.904474505686978
373,5.805675178538649
374,8.717034399175086
375,6.815465161511121
376,5.978480017005686
377,6.823799002628305
378,6.423214401416098
379,7.1982177688416895
380,8.168961974602444
381,7.099189858912727
382,5.407121764181807
383,6.415781378063985
384,7.565725101807145
385,4.886855726122658
386,6.116224810468336
387,7.773693516334198
388,6.082677984489855
389,5.391675063701654
390,8.170100832555661
391,4.747446881088372
392,7.809334882424296
393,8.079968677524777
394,7.214081171036458
395,7.111804257783758
396,6.416175226125236
397,5.494384933370239
398,6.3447850034791555
399,6.276838735784549
400,5.519864129053543
401,5.7724241043871745
402,5.98716419331923
403,5.819593483679574
404,6.03457832396173
405,5.322216315730291
406,8.685868200784885
407,5.848855257485881
408,6.312243027003034
409,5.957946203372391
410,5.680332171472912
411,9.383125975991732
412,6.144595010806596
413,8.316508682017764
414,6.105524180784194
415,5.740364084369182
416,6.189031449849099
417,8.304082768324347
418,6.940122338753252
419,5.758395373414182
420,6.324376202459167
421,4.5999414339946805
422,6.055247132148571
423,6.3065462327161095
424,8.135161892063934
425,5.538003001469026
426,5.558074276870392
427,9.454095700078051
428,6.393752602729297
429,5.803967634135697
430,6.6214097239613094
431,5.411928335014528
432,6.155124380998756
433,7.1453976642365555
434,7.2263461934073305
